Doninvest|Assol||1998|2002|Седан|1.5|автомат|86|бензин|bb35ec6ee
Doninvest|Assol||1998|2002|Седан|1.5|механика|86|бензин|bb35ec6ee
Doninvest|Assol||1998|2002|Седан|1.6|автомат|106|бензин|bb35ec6ee
Doninvest|Assol||1998|2002|Седан|1.6|механика|106|бензин|bb35ec6ee
Doninvest|Assol||1998|2002|Хэтчбек 3 дв.|1.6|автомат|106|бензин|dbd3cac99
Doninvest|Assol||1998|2002|Хэтчбек 3 дв.|1.6|механика|106|бензин|dbd3cac99
Doninvest|Assol||1998|2002|Хэтчбек 5 дв.|1.5|автомат|86|бензин|26afad327
Doninvest|Assol||1998|2002|Хэтчбек 5 дв.|1.5|механика|86|бензин|26afad327
Doninvest|Assol||1998|2002|Хэтчбек 5 дв.|1.6|автомат|106|бензин|26afad327
Doninvest|Assol||1998|2002|Хэтчбек 5 дв.|1.6|механика|106|бензин|26afad327
Doninvest|Kondor||1998|2002|Седан|2.0|автомат|117|бензин|c644bd128
Doninvest|Kondor||1998|2002|Седан|2.0|автомат|133|бензин|c644bd128
Doninvest|Kondor||1998|2002|Седан|2.0|механика|117|бензин|c644bd128
Doninvest|Kondor||1998|2002|Седан|2.0|механика|133|бензин|c644bd128
Doninvest|Orion||1998|2002|Седан|1.6|автомат|106|бензин|a4d09aa16
Doninvest|Orion||1998|2002|Седан|1.6|механика|106|бензин|a4d09aa16
Doninvest|Orion||1998|2002|Универсал 5 дв.|1.6|автомат|106|бензин|ad834d0c2
Doninvest|Orion||1998|2002|Универсал 5 дв.|1.6|механика|106|бензин|ad834d0c2
Doninvest|Orion||1998|2002|Универсал 5 дв.|2.0|автомат|133|бензин|ad834d0c2
Doninvest|Orion||1998|2002|Универсал 5 дв.|2.0|механика|133|бензин|ad834d0c2
