ТагАЗ|Aquila|I|2012|2014|Седан|1.6|механика|107|бензин|4553a4198
ТагАЗ|C-30||2011|2011|Седан|1.5|механика|105|бензин|1e97cd1f6
ТагАЗ|C-30||2011|2011|Седан|1.5|механика|97|бензин|1e97cd1f6
ТагАЗ|C10||2011|2013|Седан|1.3|механика|93|бензин|2ecc79265
ТагАЗ|C190||2011|2013|Внедорожник 5 дв.|2.4|механика|136|бензин|476d3b1af
ТагАЗ|Road Partner||2008|2011|Внедорожник 5 дв.|2.3|механика|150|бензин|6a9a35d9a
ТагАЗ|Road Partner||2008|2011|Внедорожник 5 дв.|3.2|автомат|220|бензин|6a9a35d9a
ТагАЗ|Road Partner||2008|2011|Пикап Одинарная кабина|2.6|механика|105|дизель|7086c4472
ТагАЗ|Tager||2008|2012|Внедорожник 3 дв.|2.3|механика|150|бензин|f16646a80
ТагАЗ|Tager||2008|2012|Внедорожник 3 дв.|2.6|механика|104|дизель|f16646a80
ТагАЗ|Tager||2008|2012|Внедорожник 3 дв.|2.9|механика|120|дизель|f16646a80
ТагАЗ|Tager||2008|2012|Внедорожник 3 дв.|2.9|механика|129|дизель|f16646a80
ТагАЗ|Tager||2008|2012|Внедорожник 3 дв.|3.2|автомат|220|бензин|f16646a80
ТагАЗ|Tager||2008|2012|Внедорожник 5 дв.|2.3|механика|150|бензин|87ad0cfda
ТагАЗ|Vega||2009|2010|Седан|1.6|механика|124|бензин|7a58e4ba4
